Rud e Robson;TOMAR UM GOLE;Eu to cansado de trabaiá eu quero tom
Rush;A FAREWELL TO KINGS;When they turn the pages of history
Ryan e Sharpay;BOP TO THE TOP;Mucho gusto ay que fabulosa
S. Harnick & J. Bock;SUNRISE SUNSET;Is this the little girl I carried
S.C.Foster;OH SUSANNA;I've come from Alabama with my banjo
Sá e Guarabira;ATRÁS POEIRA;Ele pegou um baio
Sá e Guarabira;ESPANHOLA;Por tantas vezes eu andei mentindo
Sá e Guarabira;HARMONIA;Como um bicho da rua pode ter...
Sá e Guarabira;ROQUE SANTEIRO;Dizem que Roque Santeiro
Sá e Guarabira;SOBRADINHO;O homem chega e já desfaz a natureza
Sá, Rodrix e Guarabyra;MESTRE JONAS;Dentro da baleia mora mestre Jonas
Sade;BY YOUR SIDE;You think I'd leave your side baby...
Sade;SMOOTH OPERATOR;Diamond life lover boy
Sagrado Coração da Terra-Malú Aires;SOB O SOL;Sobre as nossas cabeças o sol...
Samantha Mumba;GOTTA TELL YOU;Yeah, yeah, yeah, yeah, yeah
Samantha Sang & Bee Gees;EMOTION;It's over and done
Sampa Crew;AMOR VIRTUAL;Meu a mor virtual...
Sampa Crew;CORAÇÃO TE ACALMA;Quantas vezes eu te disse coração
Sampa Crew;ETERNO AMOR;Oculto em minha alma há tempos tranca
Sampa Crew;EU NASCI PRA TE AMAR;Eu nasci pra te amar só pra te amar......
Sampa Crew;ME DÊ UMA CHANCE;Amor escrevo essa carta...
Sampa Crew;MESMO ASSIM;Foram tantas coisas boas
Sampa Crew;NO MESMO LUGAR;Já faz algum tempo
CANTOR;TÍTULO;INÍCIO DA LETRA
Sampa Crew;O ANJO E A FLOR;Preste atenção tudo é segredo
Sampa Crew;QUER ME DOMINAR;Quem é que brinca de amor
Sampa Crew;VERDADE PAIXÃO;Eu vou além de mim sem nada temer
Sampa Crew;VOCÊ PERTO DE MIM;Como fazer pra esquecer teu beijo
Sampa Crew e Dani Voguel;DISTÂNCIA;Você não tá entendendo que eu não tô
Samprazer;ISSO É CAÔ;Se liga aí estão querendo por um fim no amor da
Samprazer;NA PAGODEIRA;Minha namorada tá de mal comigo
Sandra;MARIA MAGDALENA;You take my love you want my soul...
Sandra de Sá;AGORA EU SEI;Você me diz que eu sou seu...
Sandra de Sá;BYE, BYE TRISTEZA;Ninguém aqui é puro anjo ou demônio
Sandra de Sá;JOGA FORA;É cansei já não dá mais você...
Sandra de Sá;NÃO VÁ;De repente me deu
Sandra de Sá;OLHOS COLORIDOS;Os meus olhos coloridos me fazem refl
Sandra de Sá;RETRATOS E CANÇÕES;Hoje eu me peguei...
Sandra de Sá;SOLIDÃO;Solidão dá um tempo e vá saindo...
Sandra de Sá;SOUL DE VERÃO (FAME);Tudo vai mudar quando essa luz se acender
Sandra de Sá;SOZINHA;Às vezes no silêncio da noite
Sandra de Sá;VAMOS VIVER;Vamos consertar o mundo
Sandra de Sá e Gabriel O Pensador;DANÇANDO COM A VIDA;Eu não devo nada a ninguem...
Sandra de Sá e Tim Maia;NÃO TEM SAÍDA;Eu errei... mas jogue a primeira
Sandro e Gustavo;A GARAGEM DA VIZINHA;Lá na rua onde eu moro conheci...
Sandy;AQUELA DOS 30;Hoje já é quinta-feira e eu já tenho quase 30
Sandy;PÉS CANSADOS;Fiz mais do que posso
Sandy;QUEM EU SOU;A vida me mostrou que é pouco o que e
Sandy e Andrea Bocelli;VIVO POR ELLA;Vivo por ella sin saber
Sandy e Junior;APRENDER A AMAR;Ô uô ô... Tenho um segredo pra contar...
Sandy e Junior;ENROSCA;Enrosca o meu pescoço...
Sandy e Junior;NA BOA SEM CHORAR;Depois de uma noite em claro...
Sandy e Junior;NADA VAI ME SUFOCAR;Parei com você não vou arriscar
Sandy e Junior;NÃO DÁ PRA NÃO PENSAR;Não dá pra não pensar em você...
Sandy e Junior;O AMOR NÓS GUIARÁ;Vamos ter momento a chorar....
Sandy e Junior;VAMO PULÁ;Estou sentindo solta pelo ar...
Sandy e Júnior;A GENTE DÁ CERTO;Do lado de lá do lado de cá...
Sandy e Júnior;A LENDA;Bem lá no céu uma luz existe...
Sandy e Júnior;ABRE A PORTA MARIQUINHA;Abre a porta Mariquinha...
Sandy e Júnior;ABRI OS OLHOS;Sei mais do que eu quis mais do que sou
Sandy e Júnior;AS QUATRO ESTAÇÕES;A noite cai o frio desce...
Sandy e Júnior;BOCA A BOCA;Foi assim que aconteceu nossa
Sandy e Júnior;COM VOCÊ;Desde quando te encontrei..........
Sandy e Júnior;DESPERDIÇOU;Você desperdiçou o amor...
Sandy e Júnior;DIG-DIG-JOY;Dig sig joy dig joy bo boy
Sandy e Júnior;EM CADA SONHO;Cada vez que eu penso te sinto
Sandy e Júnior;ENCANTO;Se eu pudesse libertar...
Sandy e Júnior;ESTRANHO JEITO DE AMAR;Quanta bobagem tudo o que se falou
Sandy e Júnior;ETC E TAL;Quando eu encontrar um amor...
Sandy e Júnior;EU ACHO QUE PIREI;Quando eu te vi na minha frente...
Sandy e Júnior;EU QUERO MAIS;Eu quero mais mais que alegria…
Sandy e Júnior;IMORTAL (IMMORTALITY);É bem assim que estou é tudo...
Sandy e Júnior;MALIA;Cosa c'era nel fior che m'hai dato
Sandy e Júnior;MARIA CHIQUINHA;Que cô cê foi fazê no mato Maria
Sandy e Júnior;NADA É POR ACASO;Já faz algum tempo que eu fui te…
Sandy e Júnior;NO FUNDO DO CORAÇÃO;Eu quero ser um lindo sonho...
Sandy e Júnior;O AMOR FAZ;Eu ficava olhando as estrelas...
Sandy e Júnior;OLHA O QUE O AMOR ME FAZ;Meu coração bate ligeiramente apertado...
Sandy e Júnior;PRA DANÇAR COM VOCÊ;No baile da escola eu espero você
Sandy e Júnior;QUANDO VOCÊ PASSA;Esse turu turu turu aqui dentro...
Sandy e Júnior;SUPER HEROI (NÃO É FÁCIL);Não quero imitar Deus ou coisa assim…
Sandy e Júnior;VAI TER QUE REBOLAR;Garota o que é que eu faço
Sandy e Júnior;VOCÊ PRA SEMPRE (INVEJA);Eu só quero estar no teu pensamento...
Sandy e Junior - Chitãozinho e Xororó;VAMOS CONSTRUIR (LOVE CAN BUILD A BRI;Sei que ainda sou criança tenho muito que apren
Sandy e Toquinho;ERA UMA VEZ;Era uma vez, um lugarzinho...
Santa Esmeralda;YOU'RE MY EVERYTHING;You're my everything
Santa Geração;PODEROSO DEUS;Ao que está assentado no trono
Santa Geração 2 (Igreja Batista de Co;TEU FLUIR É MELHOR;Teu fluir é melhor do que tudo que co
Santana;CORAZÓN ESPINADO;Esa mujer me esta matando...
Santana;EVIL WAYS;You've got to change your evil ways
Santana;OYE COMO VA;Oye como va mi ritmo
Santana;SMOOTH;Man it's a hot one
Santana & Michelle Branch;THE GAME OF LOVE;Tell me Just what you want me to be…
Santana Feat.The Product G&B;MARIA MARIA;Ladies and gents'
Savage Garden;I KNEW I LOVED YOU;Oooh
Scorpions;WIND OF CHANGE;I follow the Moskva down to Gorky Park
Scott Mackenzie;SAN FRANCISCO;If you’re going to San Francisco...
Scracho;DIVINA COMÉDIA;Ahhhh...
Seal;CRAZY;In a church by the face he talks about the
Secos e Molhados;FLORES ASTRAIS;Um grito de estrelas vem do infinito
Secos e Molhados;MUITAS PESSOAS;Muitas pessoas sonharam
Secos e Molhados;MULHER BARRIGUDA;Mulher barriguda que vair ter menino
Secos e Molhados;MULHERES DE ATENAS;Mirem-se no exemplo daquelas mulheres...
Secos e Molhados;O VIRA;O gato preto cruzou a estrada
Secos e Molhados;QUE FIM LEVARAM TODAS AS FLORES;Que fim levaram todas as flores
Secos e Molhados;ROSA DE HIROSHIMA;Pensem nas crianças mudas...
Selma Reis;EMOÇÕES SUBURBANAS;Às vezes morro por cantar demais
Selma Reis;SOMBRA EM NOSSO OLHAR;Sei, só não sei porque penso em você
CANTOR;TÍTULO;INÍCIO DA LETRA
Sem Compromisso;ETERNAMENTE;Não sei como explicar...
Sem Compromisso;FELICIDADE ESCONDIDA;Deixo um beijo de adeus
Sem Compromisso;MARIANA, PARTE MINHA;Se eu beijar a sua boca
Sem Compromisso;NASCENTE;Sempre que eu olho pra você...
Sempre Livre;ESSE SEU JEITO SEXY DE SER;Você combinou no mesmo bat-local
Sempre Livre;EU SOU FREE;Só estudei em escola experimental
Sempre Livre;FUI EU;Os pés descalços queimando o asfalto…
Sensação;CORAL DE ANJOS;Um coral de anjos cantou uma linda
Sensação;PALMA DA MÃO;Vamo pro pagode Mané...
Sensação;PRECISO DESSE MEL;Quando a sua beleza pisou
Sensação;SENTIMENTO NU;É...tudo era azul sentimento nu um
Sérgio Britto e Negra Li;AQUI NESTE LUGAR;Ninguém sabe quanto cabe pedir e alguém sabe
Sérgio e Tchelo;TE BUSQUEI NAS AVENIDAS;Já é tarde tá chovendo e madru....
Sergio Endrigo;TI AMO;Per avermi sorriso in triste mattino
Sérgio Loroza;O MEU PONTO FRACO É MULHER;Tinha arrumado uma grana era fim de
Sergio Malandro;O ESCÂNDALO (UM CAPETA EM FORMA DE;Conheci um capeta em forma de guri
Sérgio Mendes;ÁGUA DE BEBER;Eu quis amar mas tive medo
Sérgio Murilo;BROTO LEGAL;Oh, oh, que broto legal garota fenomenal
Sérgio Reis;ADEUS MARIANA;Nasci lá na cidade me casei na serra...
Sérgio Reis;CABOCLA TEREZA;Lá no alto da montanha
Sérgio Reis;CAVALO PRETO;Tenho um cavalo preto por nome
Sérgio Reis;CHALANA;Lá vai a chalana bem longe se vai...
Sérgio Reis;CHICO MINEIRO;Fizemos a última viagem
Sérgio Reis;CIDADE GRANDE;Abre a porteira que eu quero entrar
Sérgio Reis;CORAÇÃO DE PAPEL;Se você pensa que meu coração é
Sérgio Reis;FILHO ADOTIVO;Com sacrifício...
Sérgio Reis;FUI PRA CASA DA VIZINHA;Tomei uma cerveja no bar da
Sérgio Reis;MEU CAVALO ZAINO;Eu tenho um cavalo zaino
Sérgio Reis;O MENINO DA PORTEIRA;Toda vez que eu viajava
Sérgio Reis;PANELA VELHA;Tô de namoro com uma moça solteirona
Sérgio Reis;PINGA NI MIM;Nesta casa tem goteira pinga...
Sérgio Reis;SAUDADE DA MINHA TERRA;De que me adianta viver na cidade
Sérgio Reis;TOCANDO EM FRENTE;Ando devagar porque já tive pressa...
Sérgio Reis;TREM DO PANTANAL;Enquanto esse velho trem...
Sérgio Reis;TRISTE BERRANTE;Já vai bem longe esse tempo
Sérgio Sampaio;EU QUERO BOTAR MEU BLOCO NA RUA;Há quem diga que eu dormi de touca
Seu Cuca;INDECISÃO;Em plena madrugada nós dois na hora e
Seu Cuca;NÃO HÁ;Eu quero você
Seu Jorge;A DOIDA;A doida vazou a doida vazou
Seu Jorge;ALMA DE GUERREIRO;Jorge vem de lá da Capadócia
Seu Jorge;AMIGA DA MINHA MULHER;Ela é amiga da minha mulher
Seu Jorge;BURGUESINHA;Vai no cabelereiro no esteticista
Seu Jorge;CAROLINA;Carolina é uma menina bem difícil d
Seu Jorge;COTIDIANO;Don-din don-don don-din don-don
Seu Jorge;MINA DO CONDOMÍNIO;Tô namorando aquela mina
Seu Jorge;PESSOAL PARTICULAR;Ela sabe que eu quero muito lhe espero
Seu Jorge;QUEM NÃO QUER SOU EU;Vou ficar a noite em claro sem pegar no sono
Seu Jorge;SAMBA QUE NEM RITA À DORA;O Chico falou que a Rita levou
Seu Jorge;SÃO GONÇA;Pretinha
Seu Jorge;TIVE RAZÃO;Tive razão posso falar
Seu Jorge;TRABALHADOR;Está na luta
Severino Araújo;ANOS DOURADOS;Parece que dizes te amo Maria
Shakira;DÓNDE ESTÁS CORAZÓN?;Dónde estás corazón?
Shakira;ESTOY AQUI;Ya sé que no vedrás todo lo que fue
Shakira;GYPSY;Broke my heart down the road
Shakira;OJOS ASI;Ayer conocí un cielo sin sol........
Shania Twain;I'M GONNA GETCHA GOOD;Let's go Don't wantcha for the weekend
Shania Twain;MAN I FEEL LIKE A WOMAN;Let's go girls
Shania Twain;YOU'RE STILL THE ONE;When I first saw you I saw love
Shania Twain & Back Street Boys;FROM THIS MOMENT ON;From this moment life has begun
Sheena Easton;FOR YOUR EYES ONLY;For your eyes only
Sheryl Crow;ALL I WANNA DO;Hit it This ain't no disco
Sidney Magal;CÉU COR DE ROSA;Ontem na tarde formosa
Sidney Magal;ME CHAMA QUE EU VOU;Seu corpo estremece e já não consegue...
Sidney Magal;SANDRA ROSA MADALENA;Quero vê-la sorrir, Quero vê-la cantar...
Sidney Magal;SE TE AGARRO COM OUTRO TE MATO;Se te agarro com outro te mato...
Sidney Magal;TENHO (TENGO);Tenho um mundo de sensações
Silverchair;ANA'S SONG;Please die Ana
Silverchair;MISS YOU LOVE;Millionaire say got a big shot deal
Silvia Machete;SIMPLESMENTE MULHER;Tantas... sou só uma e sou tantas
Silvinha;MINHA PRIMEIRA DESILUSÃO;Eu sou tão menina pra me enamorar
Silvinha;SPLISH SPLASH;Splish splash fez o beijo que eu dei...
Sílvio Brito;CIDADÃO;Tá vendo aquele edifício moço?
Sílvio Brito;ESPELHO MÁGICO;Espelho meu espelho meu
Silvio Caldas;MINHA PALHOÇA;Mas se você quisesse morar na minha p
Silvio César;LEVANTE OS OLHOS;Levante os olhos
Silvio César;SERENATA;Dorme fecha esse olhar entardescente
Simon and Garfunkel;BRIDGE OVER TROUBLED WATER;When you're weary feeling small
Simon and Garfunkel;THE SOUND OF SILENCE;Hello darkness my old friend
Simone;BATE O SINO;Bate o sino pequenino sino de Belém
Simone;DESESPERAR JAMAIS;Desesperar jamais
Simone;É FESTA;Quando a gente ama faz...
Simone;ENTÃO É NATAL;Então é Natal e o que você fez...
Simone;ESPERE POR MIM, MORENA;Espere por mim, morena espere...
CANTOR;TÍTULO;INÍCIO DA LETRA
Simone;IOLANDA;Esta canção não é mais que
Simone;LOCA;Loca... Loca al sentir me...
Simone;NATAL BRANCO (WHITE CHRISTMAS);Lá onde a neve cai
Simone;O AMANHÃ;A cigana leu meu destino...
Simone;PAIXÃO E FÉ;Já bate o sino bate na catedral
Simone;QUEM É VOCÊ;Quem será que me chega na toca da noite
Simone;SEPARAÇÃO;Melhor assim
Simone;VENEZIANA;Por favor nunca mais meu amor…
Simone;A BICICLETA;Bicicleta sou sua amiga,,,
Simone part. Frejat;SEDA PURA;Suave esta noite de scotch...
Simoni;CERTAS COISAS;Não existiria som
Simoni;QUANDO TE VI;Nem o sol, nem o mar, nem o brilho
Simoní e Alexandre Pires;PELO MENOS UMA VEZ;Descansei a dor no azul do mar
Simoninha;É BOM ANDAR A PÉ;É bom andar a pé
Simple Minds;DON'T YOU FORGET ABOUT ME;Hey hey hey hey uh uh uh oh
Simple Plan;PERFECT;Hey dad look at me....
Simple Red;HOLDING BACK THE YEARS;Holding back the years
Simply Red;EVERY TIME WE SAY GOODBYE;Every time we say goodbye
Simply Red;SO NOT OVER YOU;Don't know why I still slept on my side
Simply Red;STARS;Anyone who ever held you
Simply Red;YOU MAKE ME FEEL BRAND NEW;My love
Sinead O'Connor;NOTHING COMPARES TO YOU;It's been seven hours and fifteen days…
Skank;ACIMA DO SOL;Assim ela já vai achar o cara...
Skank;AMORES IMPERFEITOS;Não precisa me lembrar não vou fugir...
Skank;BALADA DO AMOR INABALÁVEL;Leva essa canção de amor dançante...
Skank;CANÇÃO NOTURNA;Misterioso luar de fronteira....
Skank;DE REPENTE;Olhei
Skank;DOIS RIOS;O céu está no chão...
Skank;É PROIBIDO FUMAR;É proibido fumar diz o aviso que eu li
Skank;É UMA PARTIDA DE FUTEBOL;Ô bola na trave não altera o placar
Skank;ESMOLA;Uma esmola pelo amor de Deus
Skank;EU DISSE A ELA;Quando eu disse a ela que o amor passou
Skank;EU E A FELICIDADE;E afinal ela quer me entregar ou não
Skank;FICA;Se você vai trabalhar e me deixar que pena...
Skank;FOTOS NA ESTANTE;Sem mais nem menos sem remédio sem des
Skank;GAROTA NACIONAL;Aqui nesse mundinho fechado
Skank;JACKIE TEQUILA;Funk lá no morro da mangueira
Skank;MACACO PREGO;Eu sou macaco prego...
Skank;MANDRAKE E OS CUBANOS;Será que você gostou…
Skank;MIL ACASOS;Mil acasos me levam a você
Skank;NOITES DE UM VERÃO QUALQUER;Noites de um verão qualquer
Skank;O HOMEM QUE SABIA DEMAIS;Sabia?
Skank;PACATO CIDADÃO;Oh pacato cidadão eu te chamei
Skank;PARA-RAIO;Passa o tempo lento ensaio
Skank;PEGADAS NA LUA;A parte que me cabe nesse peito seu...
Skank;RESPOSTA;Bem mais que o tempo que nós
Skank;SAIDEIRA;Tem um lugar diferente lá depois
Skank;SEUS PASSOS;E quando caio do seu bolso
Skank;SIDERADO;Porque eu te espero na neblina
Skank;SUTILMENTE;E quando eu estiver triste
Skank;TANTO;Coveiros gemem tristes...
Skank;TÃO SEU;Sinto sua falta
Skank;TE VER;Te ver e não te querer
Skank;TRÊS LADOS;Escutei alguem abrir os portões é...
Skank;UM MAIS UM;Éramos nós... éramos nós um mais um
Skank;UMA CANÇÃO É PRA ISSO;Uma canção é pra acender o sol
Skank;VOU DEIXAR;Vou deixar a vida me levar...
Skank e Negra Li;AINDA GOSTO DELA;Hoje acordei sem lembrar se vivi ou s
Skeeter Davis;THE END OF THE WORLD;Why does the sun go on shining
Smash Mouth;ALL STAR;Somebody once told me
Smokie;LIVING NEXT DOOR TO ALICE;Sally called when she goes got the
SNZ;SE EU PUDESSE;Quando te encontrei...
Só no Sapatinho;SÓ NO SAPATINHO;Ela chega vaidosa e sorridente
Só Pra Contrariar;A REDE;Quando ela partiu ela levou...
Só Pra Contrariar;AMOR VERDADEIRO;Olhe dentro de mim, você pode se ver
Só Pra Contrariar;DE CORPO SEM ALMA;Às vezes a solidão...
Só Pra Contrariar;DEPOIS DO PRAZER;Tô fazendo amor,  com outra pessoa
Só Pra Contrariar;DÓI DEMAIS;Tá doendo sim tá doendo em mim
Só Pra Contrariar;É BOM DEMAIS;Não larga do meu pé me chama de meu rei
Só Pra Contrariar;ESSA TAL LIBERDADE;O que é que eu vou fazer com essa tal
Só Pra Contrariar;FINAL FELIZ;Chega de fingir...
Só Pra Contrariar;INTERFONE;A cidade já pegou no sono...
Só Pra Contrariar;LINDA;É uma coisa sem explicação
Só Pra Contrariar;MACHUCA DEMAIS;Você machuca demais esse meu coração...
Só Pra Contrariar;MEU JEITO DE SER;Era só dizer pra mim que não sentia
Só Pra Contrariar;MINEIRINHO;Eu não tenho culpa de
Só Pra Contrariar;MINHA FANTASIA;A minha fantasia era te ter um dia…
Só Pra Contrariar;MINHA METADE;Será que a gente entrega
Só Pra Contrariar;NÃO CHORA;Quando eu era o seu amor não havia...
Só Pra Contrariar;NOSSO SONHO NÃO É ILUSÃO;Estão falando pra eu tomar cuidado
Só Pra Contrariar;NUNCA MAIS TE MACHUCAR;Dói demais saber que eu errei e não
Só Pra Contrariar;O AMOR, VOCÊ E EU;Se olhar nos meus olhos verá o que tenho
Só Pra Contrariar;OUTDOOR;Já coloquei num outdoor e em todos
Só Pra Contrariar;PECADO CAPITAL;Dinheiro na mão é vendaval
CANTOR;TÍTULO;INÍCIO DA LETRA
Só Pra Contrariar;PRIMEIRO AMOR;É na escola da vida que a gente aprende
Só Pra Contrariar;QUE SE CHAMA AMOR;Como é que uma coisa assim
Só Pra Contrariar;QUEM ME DERA;A noite madrugou se fez manhã...
Só Pra Contrariar;SAI DA MINHA ABA;Sai pra lá se manca vê se me esquece
Só Pra Contrariar;TÁ POR FORA;Chega de plantar loucura
Só Pra Contrariar;TÃO SÓ;Eu fiquei sozinho mais uma noite
Só Pra Contrariar;TE AMAR SEM MEDO;Tá difícil esconder a paixão que
Só Pra Contrariar;TEU OLHAR;Tua boca murmurou assim prazer te......
Só Pra Contrariar;TRIBUTO AOS MAMONAS;Apesar do pouco tempo que eu fico
Só Pra Contrariar;TUDO MENOS AMOR;Tudo que quiseres te darei ó flor
Só Pra Contrariar;VEM ME LIVRAR DESSE ABANDONO;Vá embora eu não quero...
Só Pra Contrariar;VOCÊ VIROU SAUDADE;Você virou razão virou...
Só Pra Contrariar e Gloria Estefan;SANTO SANTO;De joelhos eu te peço escute a minha oração...
Som Maior;GALHOS SECOS;Nos galhos secos de uma árvore...
Som Maior;O QUE FARÁS;Você já parou pra pensar...
Soraya Moraes;CONHECI UM GRANDE AMIGO;Conheci um grande amigo
Soraya Moraes;DIGNO DE GLÓRIA;Digno de glória e honra levantamos n
Sorriso Maroto;A PRIMEIRA NAMORADA;Eu não sei se vale a pena
Sorriso Maroto;AINDA EXISTE AMOR EM NÓS;Nós estamos separados
Sorriso Maroto;AMANHÃ;Amanhã
Sorriso Maroto;ASSIM VOCÊ MATA O PAPAI;Ai ai ai... Assim você mata o papai
Sorriso Maroto;CLICHÊ;Sem você passei a ver o que nunca enxerguei
Sorriso Maroto;FICA COMBINADO ASSIM;Fico pensando um jeito de te falar
Sorriso Maroto;FUTURO PROMETIDO;A lua que prometi está ali
Sorriso Maroto;NA CAMA;Ê larauê lalaiá
Sorriso Maroto;PRA MIM NÃO É;Do meu jeito louco diferente
Sorriso Maroto;TARDE DEMAIS;Tarde demais pra você se tocar
Sorriso Maroto;TOPO DO MUNDO;Diz quanto custa o teu sorriso
Sorriso Maroto;VOCÊ ME MALTRATA;Já me dei demais sem receber
Sorriso Maroto;TENHO MEDO;Será que é melhor agora eu ser since
Soweto;AMOR DEMAIS;É amar demais pra toda vida...
Soweto;DERÊ;Derê, derê rê rê, derê rê rê, rê rê
Soweto;FAROL DAS ESTRELAS;Voei de prazer no céu..
Soweto;MAÇÃ DO AMOR;O seu nome eu anotei na minha
Soweto;MOMENTOS;Deixa o nosso mundo se encontrar
Soweto;MUNDO DE OZ;A alegria brilhou no olhar logo que
Soweto;NÃO FOI À TOA;Amor...
Soweto;REFÉM DO CORAÇÃO;Sempre alguém me desperta cio e...
Soweto;TEMPO DE APRENDER;Dei tanto amor pra você mas você não...
Soweto;TUDO FICA BLUE;Tudo fica blue quando o sol se põe para a lua...
Soweto e Neguinho B. Flor;NEGRA ÂNGELA;Eu prefiro acreditar que é mentira
Spandau Ballet;ONLY WHEN YOU LEAVE;Laying in the after glow
Spandau Ballet;TRUE;So true funny how it seems
Spice Girls;2 BECOME 1;Candle light and soul forever…
Spice Girls;VIVA FOREVER;Do you still remember how we used to be
Spice Girls;WANNA BE;If you want my future forget my past...
Steely Dan;DO IT AGAIN;In the morning you go gunning
Stephen Bishop;IT MIGHT BE YOU;Time... I’ve been passing time...
Steppenwolf;BORN TO BE WILD;Get your motor runnin'head down
Steve Miller Band;ABRACADABRA;I heat up I can't cool down
Stevie Wonder;ALL IN LOVE IS FAIR;All is fair in love
Stevie Wonder;I JUST CALLED TO SAY I LOVE YOU;No New Year's Day to celebrate
Stevie Wonder;ISN’T SHE LOVELY;Isn’t she lovely isn’t she wonderful...
Stevie Wonder;MY CHERIE AMOUR;La la... My cherie amour...
